address,lat,lon
2233 BOSTON ROAD 10467,40.8585727,-73.8682664
3104 CRESCENT ST 11106,40.7656313,-73.9267555
3915 18TH AVE 11218,40.6325367,-73.9728246
3815 DYRE AVE 10466,40.8882821,-73.8314896
267 WEST   17 STREET 10011,40.7416179,-74.00068499999999
8013 MYRTLE AVENUE 11385,40.7031455,-73.86769029999999
158 9 AVENUE 10011,40.7443146,-74.0026298
372 LIVINGSTON STREET 11217,40.6872992,-73.9801861
722 AMSTERDAM AVENUE 10025,40.7936504,-73.9709963
13931 JAMAICA AVE 11435,40.7025526,-73.81195850000002
77 IRVING PLACE 10003,40.73690149999999,-73.98683660000002
1614 3 AVENUE 10128,40.7818647,-73.9521239
80 WEST   36 STREET 10018,40.7508705,-73.9866322
444 LENOX AVENUE 10037,40.8122279,-73.9417675
676 AMSTERDAM AVE 10025,40.792091,-73.972236
253271 SHERMAN AVENUE 10034,40.8650996,-73.9218805
524 NOSTRAND AVE 11216,40.680864,-73.949911
405 LEXINGTON AVENUE 10174,40.7517567,-73.975518
383 TROUTMAN ST 11237,40.7061425,-73.9235362
390 NEPTUNE AVENUE 11235,40.58034809999999,-73.9670038
2715 AVENUE U 11229,40.6003624,-73.9442367
1775 SOUTH AVENUE 10314,40.6000765,-74.1928099
750 11 AVENUE 10019,40.7675196,-73.99317239999999
237 WEST  105 STREET 10025,40.8005522,-73.9674607
9019 CORONA AVE 11373,40.7419743,-73.874594
3766 74 STREET 11372,40.7471124,-73.8916109
1349 EDWARD L GRANT HIGHWAY 10452,40.84014699999999,-73.921679
108 GREENWICH AVENUE 10011,40.73827989999999,-74.00192969999999
8253 BROADWAY 11373,40.7423216,-73.8812963
182 AVENUE B 10009,40.7277831,-73.9794446
42 BROADWAY 10004,40.7060744,-74.0128735
541B MYRTLE AVE 11205,40.69390569999999,-73.96282479999999
251 E 52ND ST 10022,40.7564318,-73.9679039
1621 SECOND AVENUE 10028,40.7768389,-73.9528586
719 2ND AVE 10016,40.7477812,-73.9740158
204 E 58TH ST 10022,40.76056639999999,-73.96669159999999
8925 AVENUE D 11236,40.6457128,-73.9130863
4025 CRESCENT ST 11101,40.7528849,-73.9383521
1027 FLATBUSH AVE 11226,40.6460037,-73.9573817
2409 STEINWAY STREET 11103,40.7686759,-73.9108511
3771 BROADWAY 10032,40.8340361,-73.9455421
12909 26TH AVE 11354,40.7730159,-73.7957333
146 WILSON AVE 11237,40.7004286,-73.92557219999999
270 W 45 ST 10036,40.758944,-73.9880093
873 BROADWAY 10003,40.738142,-73.99035959999999
557 LORIMER ST 11211,40.7135662,-73.94950639999999
739 GRAND ST 11211,40.71193770000001,-73.94332399999999
139 WEST   33 STREET 10001,40.749995,-73.99009360000001
1 EAST  161 STREET 10451,40.8288189,-73.9265691
7310 NORTHERN BOULEVARD 11372,40.7545178,-73.8933021
311 WEST   51 STREET 10019,40.763406,-73.98621899999999
155 S 4TH ST 11211,40.7116441,-73.961944
2024 MCDONALD AVENUE 11223,40.6032802,-73.9726033
647 9 AVENUE 10036,40.7606604,-73.99133599999999
2923 AVENUE R 11229,40.6075797,-73.9434332
1252 YORK AVENUE 10065,40.7637733,-73.9560015
318 KINGS HWY 11223,40.60475110000001,-73.9785378
4257 MAIN ST 11355,40.7537785,-73.8274256
607 9TH AVE 10036,40.75936799999999,-73.99235
934 MORRIS AVE 10456,40.8273521,-73.9173485
273 13TH ST 11215,40.6666945,-73.9878436
425 E 9TH ST 10009,40.727862,-73.983561
11614 QUEENS BOULEVARD 11375,40.7155273,-73.8335275
