CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,LAT,LON
41523349,STEVEN RESTAURANT,BRONX,2233,BOSTON ROAD,10467,7186527778,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/18/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,2,A,10/18/2017,04/09/2018,Cycle Inspection / Re-inspection,40.8585727,-73.8682664
50042010,"KELLY'S BAR",QUEENS,3104,CRESCENT ST,11106,7186265199,American,07/10/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,,,04/09/2018,Cycle Inspection / Initial Inspection,40.7656313,-73.9267555
50042740,TANDIR EXPRESS,BROOKLYN,3915,18TH AVE,11218,9178938585,Russian,04/19/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,17,B,04/19/2016,04/09/2018,Pre-permit (Operational) / Re-inspection,40.6325367,-73.9728246
41702914,ROYAL CARIBBEAN BAKERY & RESTAURANT,BRONX,3815,DYRE AVE,10466,7189945544,Caribbean,07/24/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,16,,,04/09/2018,Cycle Inspection / Initial Inspection,40.8882821,-73.8314896
41602357,JUST MADE SUSHI (DD MARU),MANHATTAN,267,WEST   17 STREET,10011,6467240508,Japanese,06/02/2017,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,10,A,06/02/2017,04/09/2018,Cycle Inspection / Initial Inspection,40.7416179,-74.00068499999999
41383227,LA NAZIONALE SOCCER CLUB,QUEENS,8013,MYRTLE AVENUE,11385,7184979069,Italian,05/06/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,05/06/2016,04/09/2018,Cycle Inspection / Initial Inspection,40.7031455,-73.86769029999999
40903063,O-MAI,MANHATTAN,158,9 AVENUE,10011,2126330550,Vietnamese/Cambodian/Malaysia,02/02/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,02/02/2016,04/09/2018,Cycle Inspection / Initial Inspection,40.7443146,-74.0026298
41603610,LIVINGSTON DINER,BROOKLYN,372,LIVINGSTON STREET,11217,7185226941,American,08/10/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,39,,,04/09/2018,Cycle Inspection / Initial Inspection,40.6872992,-73.9801861
41678092,OPAI THAI,MANHATTAN,722,AMSTERDAM AVENUE,10025,2128668989,Thai,09/12/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,24,B,09/12/2016,04/09/2018,Cycle Inspection / Re-inspection,40.7936504,-73.9709963
50010333,EL MEZCAL BAR & GRILL,QUEENS,13931,JAMAICA AVE,11435,7186400964,Mexican,12/02/2017,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,2,,,04/09/2018,Inter-Agency Task Force / Initial Inspection,40.7025526,-73.81195850000002
