CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,LAT,LON
40382052,LATOURETTE GOLF COURSE,STATEN ISLAND,1001,RICHMOND HILL ROAD,10306,7183511889,American,01/07/2014,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,22,40.729832,-73.9892798
40382052,LATOURETTE GOLF COURSE,STATEN ISLAND,1001,RICHMOND HILL ROAD,10306,7183511889,American,01/07/2014,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,22,40.729832,-73.9892798
40369287,TWO STEPS DOWN,BROOKLYN,240,DE KALB AVENUE,11205,7183992020,American,01/08/2014,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,25,40.8541794,-73.7908762
40727214,CHINANTLA RESTAURANT,BROOKLYN,657,MYRTLE AVENUE,11205,7182221719,Mexican,01/12/2014,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,34,40.845096,-73.8448239
40605770,DUNKIN' DONUTS,QUEENS,3045,STEINWAY STREET,11103,7187217888,Donuts,02/07/2014,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,18,40.5919797,-73.9558523
40605770,DUNKIN' DONUTS,QUEENS,3045,STEINWAY STREET,11103,7187217888,Donuts,02/07/2014,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,18,40.5919797,-73.9558523
40752494,APPLEBEE'S,BRONX,2276,BARTOW AVENUE,10475,7183204227,American,02/08/2014,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,40.618819,-74.029661
40403989,GOOD SHEPHERD SERVICES,MANHATTAN,337,EAST   17 STREET,10003,2124754245,American,02/09/2014,Food Protection Certificate not held by supervisor of food operations.,Critical,20,40.7571436,-73.979301
40609677,BURGER KING,STATEN ISLAND,20,WILLOW BROOK ROAD,10302,7188159700,Hamburgers,02/09/2014,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,10,40.7644999,-73.9783542
40729296,DINO'S PIZZA & PASTA,QUEENS,3001,BROADWAY,11106,7185454775,Pizza/Italian,02/12/2014,Live roaches present in facility's food and/or non-food areas.,Critical,35,40.8280502,-73.8984052
40686130,LITE BITES & GRILL,BROOKLYN,700,MANHATTAN AVENUE,11222,7183832820,American,02/12/2014,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,40.8351993,-73.9197743
40528073,GRAND PLAZA,STATEN ISLAND,23,NELSON AVENUE,10308,7189674034,American,03/09/2014,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,40.725212,-73.990495
40367373,JACKSON HOLE,MANHATTAN,232,EAST   64 STREET,10065,2123717187,American,03/09/2014,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,20,40.7638694,-73.9629729
